# wavelength,transmittance
9.360000000000000000e+02,2.582839324799287017e-01
9.370000000000000000e+02,2.836624880150145356e-01
9.380000000000000000e+02,2.861031380904287547e-01
9.390000000000000000e+02,2.951963147472865256e-01
9.400000000000000000e+02,3.323709275596687385e-01
9.410000000000000000e+02,3.143548739588789553e-01
9.420000000000000000e+02,3.061523334977716004e-01
9.430000000000000000e+02,2.619431059480920587e-01
9.440000000000000000e+02,2.545624569055324748e-01
9.450000000000000000e+02,2.944506342511525321e-01
9.460000000000000000e+02,2.621019952244201257e-01
9.470000000000000000e+02,2.739784260188372622e-01
9.480000000000000000e+02,2.725707656559717695e-01
9.490000000000000000e+02,2.961818564706131252e-01
9.500000000000000000e+02,2.252710884187813234e-01
9.510000000000000000e+02,2.950492341641471339e-01
9.520000000000000000e+02,2.592484414836681572e-01
9.530000000000000000e+02,2.527914484848372001e-01
9.540000000000000000e+02,2.693980410041478812e-01
9.550000000000000000e+02,2.624487775505577880e-01
9.560000000000000000e+02,2.477032391249572307e-01
9.570000000000000000e+02,2.315917248455754140e-01
9.580000000000000000e+02,2.637154344789266469e-01
9.590000000000000000e+02,2.477664070430194154e-01
9.600000000000000000e+02,2.499039010946736139e-01
9.610000000000000000e+02,2.416364351588483339e-01
9.620000000000000000e+02,2.384083459773942149e-01
9.630000000000000000e+02,2.396438117799012113e-01
9.640000000000000000e+02,2.309845377297193580e-01
9.650000000000000000e+02,2.335139719883702336e-01
9.660000000000000000e+02,2.325136204038819043e-01
9.670000000000000000e+02,2.252450785285148860e-01
9.680000000000000000e+02,2.309202911842752892e-01
9.690000000000000000e+02,2.269462960421483044e-01
9.700000000000000000e+02,2.231768156219389732e-01
9.710000000000000000e+02,2.188662731901897807e-01
9.720000000000000000e+02,2.107397957162248370e-01
9.730000000000000000e+02,2.098242686859893014e-01
9.740000000000000000e+02,1.996078429990796044e-01
9.750000000000000000e+02,1.985135497318224751e-01
9.760000000000000000e+02,1.924878287485865258e-01
9.770000000000000000e+02,1.955543287275136044e-01
9.780000000000000000e+02,1.908004959758327901e-01
9.790000000000000000e+02,1.879643548670354714e-01
9.800000000000000000e+02,1.824015597387976251e-01
9.810000000000000000e+02,1.830912568477390256e-01
9.820000000000000000e+02,1.789493736990948325e-01
9.830000000000000000e+02,1.745214919083818150e-01
9.840000000000000000e+02,1.716005077065670126e-01
9.850000000000000000e+02,1.665286934635099303e-01
9.860000000000000000e+02,1.645744374326295889e-01
9.870000000000000000e+02,1.608815887013621548e-01
9.880000000000000000e+02,1.575741029745994226e-01
9.890000000000000000e+02,1.543787205264200713e-01
9.900000000000000000e+02,1.504866770095262540e-01
9.910000000000000000e+02,1.471819145673135543e-01
9.920000000000000000e+02,1.433237080943257913e-01
9.930000000000000000e+02,1.391092943078886257e-01
9.940000000000000000e+02,1.355192719436104365e-01
9.950000000000000000e+02,1.316270135427309029e-01
9.960000000000000000e+02,1.276985657106644023e-01
9.970000000000000000e+02,1.239621736687204351e-01
9.980000000000000000e+02,1.202244870100290242e-01
9.990000000000000000e+02,1.165218325717514436e-01
1.000000000000000000e+03,1.127305425925710647e-01
1.001000000000000000e+03,1.090817148641498036e-01
1.002000000000000000e+03,1.101574273897386741e-01
1.003000000000000000e+03,1.072057220149813805e-01
1.004000000000000000e+03,1.038866828802363362e-01
1.005000000000000000e+03,1.007128254353488461e-01
1.006000000000000000e+03,9.747851639976522209e-02
1.007000000000000000e+03,9.423963639891368149e-02
1.008000000000000000e+03,8.699046948523460332e-02
1.009000000000000000e+03,8.481870690412957048e-02
1.010000000000000000e+03,8.266249739253250794e-02
1.011000000000000000e+03,8.057689372004889217e-02
1.012000000000000000e+03,7.836797815887507068e-02
1.013000000000000000e+03,7.624493251678034211e-02
1.014000000000000000e+03,7.535028788277466083e-02
1.015000000000000000e+03,7.497983879136796426e-02
1.016000000000000000e+03,7.260269932503410351e-02
1.017000000000000000e+03,6.973175480135858362e-02
1.018000000000000000e+03,6.684983998416026141e-02
1.019000000000000000e+03,6.391369375274451314e-02
1.020000000000000000e+03,6.108291831741628763e-02
1.021000000000000000e+03,5.829488140743225438e-02
1.022000000000000000e+03,5.637456675421281815e-02
1.023000000000000000e+03,5.446020537444645065e-02
1.024000000000000000e+03,5.251799827015715683e-02
1.025000000000000000e+03,5.067349111744059997e-02
1.026000000000000000e+03,4.875056137835408893e-02
1.027000000000000000e+03,4.684328583096830645e-02
1.028000000000000000e+03,4.493808293726722636e-02
1.029000000000000000e+03,4.349829069075333843e-02
1.030000000000000000e+03,4.237178435841804786e-02
1.031000000000000000e+03,4.079722852421926310e-02
1.032000000000000000e+03,3.903355899804035467e-02
1.033000000000000000e+03,3.726781480890068582e-02
1.034000000000000000e+03,3.549716896579124814e-02
1.035000000000000000e+03,3.373144223840173622e-02
1.036000000000000000e+03,3.196311371945973617e-02
1.037000000000000000e+03,3.019124205674645484e-02
1.038000000000000000e+03,2.893574170776979509e-02
1.039000000000000000e+03,2.780106225761949656e-02
1.040000000000000000e+03,2.646932939401400869e-02
1.041000000000000000e+03,2.511507672812265599e-02
1.042000000000000000e+03,2.376094035414094349e-02
1.043000000000000000e+03,2.240574221880812372e-02
1.044000000000000000e+03,2.105103563624831364e-02
1.045000000000000000e+03,1.969286083657450365e-02
1.046000000000000000e+03,1.833440860493896346e-02
1.047000000000000000e+03,1.795390349609976913e-02
1.048000000000000000e+03,1.751383881841326456e-02
1.049000000000000000e+03,1.654331144645150575e-02
